"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"15,""3.557138504"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"16,""3.557226524"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60145 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985526722 TSecr=262565637"""
"17,""5.788987289"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"18,""5.790017285"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"19,""5.790348638"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60145 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985528955 TSecr=262565637"""
"20,""5.796211479"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60145  >  8883 [FIN, ACK] Seq=1868 Ack=3330 Win=64128 Len=0 TSval=262567877 TSecr=985528954"""
"21,""5.796314656"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60145 [ACK] Seq=3362 Ack=1869 Win=64128 Len=0 TSval=985528961 TSecr=262567877"""
"22,""5.800827346"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""60145  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"23,""5.801006408"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""60145  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"24,""5.801026460"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""60145  >  8883 [RST] Seq=1869 Win=0 Len=0"""
"25,""6.800561107"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""46671  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262568880 TSecr=0 WS=128"""
"26,""6.800676002"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  46671 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985529965 TSecr=262568880 WS=128"""
"27,""6.804049010"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""46671  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262568885 TSecr=985529965"""
"28,""6.809408363"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"29,""6.809505863"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  46671 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985529974 TSecr=262568890"""
"30,""9.077644648"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  46671 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985532242 TSecr=262568890 [TCP segment of a reassembled PDU]"""
"31,""9.077700534"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  46671 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985532242 TSecr=262568890 [TCP segment of a reassembled PDU]"""
"32,""9.077710950"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"33,""9.082526608"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""46671  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262571162 TSecr=985532242"""
"34,""9.084952380"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""46671  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262571166 TSecr=985532242"""
"35,""9.085070921"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""46671  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262571166 TSecr=985532242"""
"36,""9.230540807"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"37,""9.230704035"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  46671 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985532395 TSecr=262571209"""
"38,""12.189339992"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"39,""12.193134612"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""46671  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262574274 TSecr=985535354"""
"40,""12.195267156"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"41,""12.195369031"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  46671 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985535360 TSecr=262574276"""
"42,""14.421817861"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"43,""14.422870148"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"44,""14.423184261"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  46671 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985537588 TSecr=262574276"""
"45,""14.429954703"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""46671  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262576509 TSecr=985537586"""
"46,""16.438729348"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""54507  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262578514 TSecr=0 WS=128"""
"47,""16.438868618"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  54507 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985539604 TSecr=262578514 WS=128"""
"48,""16.486026137"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""54507  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262578529 TSecr=985539604"""
"49,""16.488522689"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"50,""16.488660605"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  54507 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985539653 TSecr=262578535"""
"51,""17.593486428"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  54507 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985540758 TSecr=262578535 [TCP segment of a reassembled PDU]"""
"52,""17.593528251"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  54507 [PSH, ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985540758 TSecr=262578535 [TCP segment of a reassembled PDU]"""
"53,""17.593946687"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"54,""17.604046177"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""54507  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262579684 TSecr=985540758"""
"55,""17.606633823"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""54507  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262579687 TSecr=985540758"""
"56,""17.606709187"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""54507  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262579687 TSecr=985540759"""
"57,""17.645218720"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"58,""17.645319293"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  54507 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985540810 TSecr=262579725"""
"59,""18.611928325"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""48419  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356638839 TSecr=0 WS=128"""
"60,""18.612072439"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  48419 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852159579 TSecr=1356638839 WS=128"""
"61,""18.616039871"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""48419  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356638844 TSecr=2852159579"""
"62,""18.624752961"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"63,""18.624853169"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  48419 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852159591 TSecr=1356638852"""
"64,""19.674486450"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  48419 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852160641 TSecr=1356638852 [TCP segment of a reassembled PDU]"""
"65,""19.674523741"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  48419 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852160641 TSecr=1356638852 [TCP segment of a reassembled PDU]"""
"66,""19.674528220"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"67,""19.680715904"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""48419  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356639909 TSecr=2852160641"""
"68,""19.684286254"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""48419  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356639912 TSecr=2852160641"""
"69,""19.686401922"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""48419  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356639915 TSecr=2852160641"""
"70,""19.705484762"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"71,""19.705537106"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  48419 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852160672 TSecr=1356639933"""
"72,""19.951639606"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"73,""19.955354018"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""54507  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262582036 TSecr=985543116"""
"74,""19.957565415"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"75,""19.957623332"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  54507 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985543122 TSecr=262582038"""
"76,""23.648900823"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"77,""23.654118979"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"78,""23.654274082"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  48419 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852164621 TSecr=1356643882"""
"79,""23.926241008"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"80,""23.928164125"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"81,""23.928685946"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  54507 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985547093 TSecr=262582038"""
"82,""23.937999815"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""54507  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262586018 TSecr=985547091"""
"83,""27.701312410"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"84,""27.702816570"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"85,""27.703399693"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  48419 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852168670 TSecr=1356643882"""
"86,""27.750882418"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""[TCP Retransmission] 8883  >  48419 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852168718 TSecr=1356643882"""
"87,""27.754217717"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""48419  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356647980 TSecr=2852168668"""
"88,""27.754332092"",""192.168.68.106"",""192.168.68.114"",""TCP"",""54"",""48419  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"89,""27.945950277"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""58653  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262590025 TSecr=0 WS=128"""
"90,""27.946104027"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  58653 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985551111 TSecr=262590025 WS=128"""
"91,""27.951281975"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58653  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262590031 TSecr=985551111"""
"92,""27.957728459"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"93,""27.957858719"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58653 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985551122 TSecr=262590037"""
"94,""28.756682111"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""55829  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356648984 TSecr=0 WS=128"""
"95,""28.756802111"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  55829 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852169723 TSecr=1356648984 WS=128"""
"96,""28.761995111"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""55829  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356648990 TSecr=2852169723"""
"97,""28.767603942"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"98,""28.767698525"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  55829 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852169734 TSecr=1356648996"""
"99,""29.056919025"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  58653 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985552222 TSecr=262590037 [TCP segment of a reassembled PDU]"""
"100,""29.056977775"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  58653 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985552222 TSecr=262590037 [TCP segment of a reassembled PDU]"""
"101,""29.056982410"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"102,""29.065673833"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58653  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262591145 TSecr=985552222"""
"103,""29.067415701"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58653  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262591148 TSecr=985552222"""
"104,""29.071146207"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58653  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262591152 TSecr=985552222"""
"105,""29.109012982"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"106,""29.109063398"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58653 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985552274 TSecr=262591190"""
"107,""29.826969772"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  55829 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852170794 TSecr=1356648996 [TCP segment of a reassembled PDU]"""
"108,""29.827013678"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  55829 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852170794 TSecr=1356648996 [TCP segment of a reassembled PDU]"""
"109,""29.827018313"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"110,""29.836985044"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""55829  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356650065 TSecr=2852170794"""
"111,""29.839554357"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""55829  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356650068 TSecr=2852170794"""
"112,""29.839620450"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""55829  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356650068 TSecr=2852170794"""
"113,""29.883018087"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"114,""29.883093764"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  55829 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852170850 TSecr=1356650109"""
"115,""31.438222643"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"116,""31.443161373"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58653  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262593524 TSecr=985554603"""
"117,""31.445676623"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"118,""31.445786675"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58653 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985554610 TSecr=262593526"""
"119,""32.206666727"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"120,""32.210993272"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""55829  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356652439 TSecr=2852173173"""
"121,""32.211990976"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"122,""32.212045663"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  55829 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852173179 TSecr=1356652440"""
"123,""33.703098858"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"124,""33.704250207"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"125,""33.704573956"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58653 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985556869 TSecr=262593526"""
"126,""33.750875227"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""[TCP Retransmission] 8883  >  58653 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985556916 TSecr=262593526"""
"127,""33.791681260"",""192.168.68.104"",""192.168.68.114"",""TCP"",""78"",""58653  >  8883 [ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262595872 TSecr=985556868 SLE=3361 SRE=3362"""
"128,""33.793947865"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58653  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262595874 TSecr=985556868"""
"129,""34.452363902"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"130,""34.453657960"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"131,""34.454046968"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  55829 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852175421 TSecr=1356652440"""
"132,""34.459186479"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""55829  >  8883 [RST, ACK] Seq=1868 Ack=3361 Win=64128 Len=0 TSval=1356654686 TSecr=2852175419"""
"133,""34.459368145"",""192.168.68.106"",""192.168.68.114"",""TCP"",""54"",""55829  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"134,""36.463000615"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""40643  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356656690 TSecr=0 WS=128"""
"135,""36.463135354"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  40643 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852177430 TSecr=1356656690 WS=128"""
"136,""36.470037930"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""40643  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356656697 TSecr=2852177430"""
"137,""36.477036652"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"138,""36.477187485"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  40643 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852177444 TSecr=1356656703"""
"139,""37.584636077"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  40643 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852178551 TSecr=1356656703 [TCP segment of a reassembled PDU]"""
"140,""37.584667847"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  40643 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852178551 TSecr=1356656703 [TCP segment of a reassembled PDU]"""
"141,""37.584672379"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"142,""37.589019809"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""40643  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356657816 TSecr=2852178551"""
"143,""37.591392299"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""40643  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356657820 TSecr=2852178551"""
"144,""37.592451983"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""40643  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356657820 TSecr=2852178551"""
"145,""37.634246188"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"146,""37.634330719"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  40643 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852178601 TSecr=1356657862"""
"147,""39.979437214"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"148,""39.987791295"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""40643  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356660216 TSecr=2852180946"""
"149,""39.988819624"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"150,""39.988871186"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  40643 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852180955 TSecr=1356660217"""
"151,""41.805381483"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""47373  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262603885 TSecr=0 WS=128"""
